QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,MCC,NBD,LOC,#Pa,#MC,#AF
<Field>org.apache.skywalking.apm.agent.core.boot.AgentPackagePath->AGENT_PACKAGE_PATH,static AGENT_PACKAGE_PATH : File,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>org.apache.skywalking.apm.agent.core.boot.AgentPackagePath->logger,static final logger : ILog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.skywalking.apm.agent.core.boot.BootService,BootService,low,low,low,low,0,4,0,1,12,4,5,4,0,0,4,0,0,0,0,0,0,0,,,,5,,,,,,4,,,,,,
<Method>org.apache.skywalking.apm.agent.core.boot.BootService.public abstract boot( ): void,boot( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
<Method>org.apache.skywalking.apm.agent.core.boot.BootService.public abstract onComplete( ): void,onComplete( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
<Method>org.apache.skywalking.apm.agent.core.boot.BootService.public abstract prepare( ): void,prepare( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
<Method>org.apache.skywalking.apm.agent.core.boot.BootService.public abstract shutdown( ): void,shutdown( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
org.apache.skywalking.apm.agent.core.boot.DefaultImplementor,DefaultImplementor,low,low,low,low,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,3,,,,,,0,,,,,,
org.apache.skywalking.apm.agent.core.boot.DefaultNamedThreadFactory,DefaultNamedThreadFactory,low,low,low,low,0,5,3,1,0,2,11,7,2,1,2,0,0,0.667,0.333,0,0,0,,,,11,,,,,,2,,,,,,
<Method>org.apache.skywalking.apm.agent.core.boot.DefaultNamedThreadFactory.public DefaultNamedThreadFactory( String ): void,DefaultNamedThreadFactory( String ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,2
